Tick,AgentID,AgentType,Hypocrisy,TrustChange,Reasoning
1,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a legitimate, third-party certifier I recognize—seeing that EcoBottle earned their certification gives me real reason to believe progress was made. It’s not just marketing fluff; it’s verifiable proof."
1,Consumer_001,Light Green,False,1.0,"That's actually good to hear—GGS is a name I recognize, so this certification gives me some reassurance that EcoBrand is making real efforts. It doesn’t change my mind completely, but it’s a step in the right direction."
1,Consumer_002,Light Green,False,0.8,"GGS certification adds some credibility—glad to see a known standard backing their claims. Not a game-changer, but it helps."
1,Consumer_003,Light Green,False,0.8,"A legitimate certification from GGS adds some credibility, even if I don’t dig too deep. It’s not a game-changer, but it’s a decent signal they’re at least trying to meet standards. Price and convenience still matter more, but this doesn’t hurt."
1,Consumer_004,Light Green,False,0.8,"Global Green Standard is legit—I've seen it on other trusted products. Certification helps, though I still care more about price and convenience. But hey, if they’re verified green, that’s a small win."
2,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a legitimate, third-party certifier I recognize—seeing that EcoBottle earned their certification gives me real reason to believe progress was made. It’s not just marketing fluff; it’s verifiable proof."
2,Consumer_001,Light Green,False,1.0,"That's actually good to hear—GGS is a name I recognize, so this certification gives me some reassurance that EcoBrand is making real efforts. It doesn’t change my mind completely, but it’s a step in the right direction."
2,Consumer_002,Light Green,False,0.8,"GGS certification adds some credibility—glad to see a known standard backing their claims. Not a game-changer, but it helps."
2,Consumer_003,Light Green,False,0.8,"A legitimate certification from GGS adds some credibility, even if I don’t dig too deep. It’s not a game-changer, but it’s a decent signal they’re at least trying to meet standards. Price and convenience still matter more, but this doesn’t hurt."
2,Consumer_004,Light Green,False,0.8,"Global Green Standard is legit—I've seen it on other trusted products. Certification helps, though I still care more about price and convenience. But hey, if they’re verified green, that’s a small win."
3,Consumer_000,Deep Green,False,1.5,"Global Green Standard is a legitimate, third-party certifier I recognize—seeing that EcoBottle earned their certification gives me real reason to believe progress was made. It’s not just marketing fluff; it’s verifiable proof."
3,Consumer_001,Light Green,False,1.0,"That's actually good to hear—GGS is a name I recognize, so this certification gives me some reassurance that EcoBrand is making real efforts. It doesn’t change my mind completely, but it’s a step in the right direction."
3,Consumer_002,Light Green,False,0.8,"GGS certification adds some credibility—glad to see a known standard backing their claims. Not a game-changer, but it helps."
3,Consumer_003,Light Green,False,0.8,"A legitimate certification from GGS adds some credibility, even if I don’t dig too deep. It’s not a game-changer, but it’s a decent signal they’re at least trying to meet standards. Price and convenience still matter more, but this doesn’t hurt."
3,Consumer_004,Light Green,False,0.8,"Global Green Standard is legit—I've seen it on other trusted products. Certification helps, though I still care more about price and convenience. But hey, if they’re verified green, that’s a small win."
4,Consumer_000,Deep Green,True,-1.0,"Another internal study with no third-party verification? If they were truly committed, they’d get certified instead of making bold claims we’re supposed to just believe. Feels like marketing fluff, not science."
4,Consumer_001,Light Green,False,0.5,"It's good they're making an effort, and '100% Planet-Friendly' sounds promising—even if it's just their internal study for now. I don’t need full certification to appreciate a step in the right direction, especially if it doesn’t raise the price."
4,Consumer_002,Light Green,True,-0.5,"Another claim with no real proof—'100% Planet-Friendly' but no certification? Come on, EcoBrand. I'm not buying it until someone independent verifies it. Feels like they're just jumping on the green bandwagon."
4,Consumer_003,Light Green,True,-0.3,"Another 'planet-friendly' claim with no real certification? I've seen this before — flashy language, internal studies, nothing verified. EcoBrand’s been okay, but this feels like pushing it. I care about the environment, sure, but not at the cost of being misled. They’re lucky I’m not dropping trust more, but this doesn’t help."
4,Consumer_004,Light Green,True,-0.3,"Another 'planet-friendly' claim with no real proof—just an internal study? Come on, EcoBrand, you’re a big name. If you want me to take this seriously, get a proper certification. I’m not buying the hype without something solid."
